X,Y
2,2
50,50
85,10
20,85
3,2
51,49
86,11
21,84
2,3
49,51
84,9
19,86
4,3
52,50
87,10
22,85
3,4
50,52
88,12
23,87
5,4
53,51
89,11
24,86
4,5
54,53
90,13
25,88
6,5
55,52
91,12
26,87
5,6
56,54
92,14
27,89
7,6
57,53
93,13
28,88
6,7
58,55
94,15
29,90
8,7
59,54
95,14
30,89
7,8
60,56
96,16
31,91
9,8
61,55
97,15
32,90
8,9
62,57
98,17
33,92
10,9
63,56
99,16
34,91
11,10
64,58
100,18
35,93
12,11
65,57
101,17
36,92
13,12
66,59
102,19
37,94
14,13
67,58
103,18
38,93
15,14
68,60
104,20
39,95
16,15
69,59
105,19
40,94
17,16
70,61
106,21
41,96
18,17
71,60
107,20
42,95
